index,PLAYER_NAME,PPP,GAME_COUNT
373,Mike Muscala,0.977180794,74
124,Devin Booker,0.977120348,70
422,Reggie Bullock,0.97618803,72
218,Jahlil Okafor,0.976022587,77
337,Lou Williams,0.974376458,83
500,Troy Williams,0.97380345,29
275,Jordan Clarkson,0.973379654,82
390,Nicolas Batum,0.973135682,79
496,Tristan Thompson,0.972896998,46
301,Kelly Oubre Jr.,0.972868188,69
47,Brandon Ingram,0.972307288,58
159,Eric Bledsoe,0.971565565,97
269,Jonas Jerebko,0.971088554,101
331,Larry Nance Jr.,0.970648874,69
499,Troy Daniels,0.969757196,79
446,Semi Ojeleye,0.969315285,91
239,Jaylen Brown,0.968487134,84
361,Mason Plumlee,0.966459,96
322,Kyle Kuzma,0.966201512,77
370,Michael Kidd-Gilchrist,0.965815129,70
89,Damion Lee,0.965374869,45
418,Raul Neto,0.965219833,49
423,Reggie Jackson,0.965172417,86
406,Patrick Beverley,0.964667982,84
293,Jusuf Nurkic,0.964463699,73
9,Alex Len,0.96424621,79
8,Alex Caruso,0.963598123,30
349,Marc Gasol,0.961874037,105
321,Kyle Korver,0.961813741,76
249,Jerome Robinson,0.961658597,49
221,Jalen Brunson,0.9613802,81
514,Vince Carter,0.961062605,81
284,Jrue Holiday,0.960155652,67
176,George Hill,0.960023864,85
150,E'Twaun Moore,0.959982817,63
81,Cristiano Felicio,0.959957603,81
35,Ben Simmons,0.959646686,91
340,Luke Kennard,0.959462981,69
109,DeMar DeRozan,0.95928646,86
320,Kyle Anderson,0.959077021,48
27,Anthony Tolliver,0.958757907,82
448,Seth Curry,0.95831144,94
484,Tomas Satoransky,0.955585066,80
241,Jayson Tatum,0.954993295,89
138,Dorian Finney-Smith,0.954884859,81
99,Darius Miller,0.954372163,75
17,Andre Drummond,0.953899792,83
78,Corey Brewer,0.953694376,37
70,Chris Boucher,0.953306043,55
224,Jamal Murray,0.952868778,89
363,Maurice Harkless,0.952690401,83
121,Derrick Jones Jr.,0.95129246,73
524,Wesley Matthews,0.950729587,73
453,Shaun Livingston,0.950709684,88
25,Ante Zizic,0.950403931,75
429,Robin Lopez,0.949659537,82
449,Shabazz Napier,0.949223623,81
100,Darren Collison,0.948992152,80
430,Rodions Kurucs,0.948039932,80
92,Daniel Theis,0.946276384,84
481,Tim Hardaway Jr.,0.946208097,68
52,Bruno Caboclo,0.946010589,34
440,Ryan Arcidiacono,0.945954477,82
